id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation,season,day_of_departure,hour_of_departure,gap_hours,area_cancel_per
132519,22172,12,,1,571.0,,15.0,108.0,2013-01-01 09:45:00,2013-01-01 09:45:00,0,0,2013-01-01 09:21:00,12.95185,77.69642,,,0,4,1,1,0.4,3
132531,22189,24,,1,1383.0,,,32.0,2013-01-12 08:00:00,2013-01-14 00:00:00,1,0,2013-01-01 12:17:00,12.930451,77.685822,,,0,4,5,1,259.71666666666664,2
132539,22192,54,,1,515.0,,15.0,32.0,2013-01-05 08:30:00,2013-01-05 00:00:00,0,0,2013-01-01 14:40:00,12.97896,77.67345,,,0,4,5,1,89.83333333333333,3
132697,22275,28,,1,136.0,,1.0,152.0,2013-01-04 09:30:00,2013-01-04 09:29:59,1,0,2013-01-03 12:19:00,12.90796,77.62418,,,0,4,4,1,21.183333333333334,2
132760,22310,87,,1,1118.0,,,32.0,2013-01-06 07:30:00,2013-01-06 00:00:00,1,0,2013-01-04 09:32:00,12.93022,77.56039,,,0,4,6,1,45.96666666666667,-1
132780,22318,65,,1,293.0,,15.0,32.0,2013-01-05 08:00:00,2013-01-06 00:00:00,0,0,2013-01-04 12:43:00,12.849482,77.663187,,,0,4,5,1,19.283333333333335,3
132781,22319,87,,1,912.0,,1.0,32.0,2013-01-05 06:00:00,2013-01-05 06:00:00,1,0,2013-01-04 12:51:00,12.92645,77.61206,,,0,4,5,1,17.15,0
132791,22323,65,,1,410.0,,15.0,29.0,2013-01-09 06:00:00,2013-01-12 00:00:00,0,0,2013-01-04 14:40:00,13.05121,77.54113,,,0,4,2,1,111.33333333333333,2
132907,22385,12,,1,393.0,,15.0,32.0,2013-01-05 22:45:00,2013-01-05 00:00:00,0,0,2013-01-05 15:29:00,13.19956,77.70688,,,0,4,5,3,7.266666666666667,3
132911,22387,12,,1,396.0,,15.0,32.0,2013-01-06 06:45:00,2013-01-06 00:00:00,0,0,2013-01-05 16:24:00,12.92073,77.66482,,,0,4,6,1,14.35,3
132964,22412,12,,1,344.0,,15.0,160.0,2013-01-06 08:00:00,2013-01-06 07:59:59,0,0,2013-01-05 23:51:00,12.94788,77.67092,,,0,4,6,1,8.15,2
133022,22445,54,,1,1095.0,,1.0,32.0,2013-01-19 07:00:00,2013-01-19 07:00:00,1,0,2013-01-06 14:57:00,12.92415,77.67229,,,0,4,5,1,304.05,3
133098,22480,12,,1,393.0,,15.0,29.0,2013-01-10 07:30:00,2013-01-13 00:00:00,0,0,2013-01-07 12:25:00,13.19956,77.70688,,,0,4,3,1,67.08333333333333,3
133245,5120,12,,1,871.0,,15.0,64.0,2013-01-09 07:45:00,2013-01-10 07:45:00,1,0,2013-01-08 23:46:00,12.98712,77.56624,,,0,4,2,1,7.983333333333333,-1
133311,22589,54,,1,168.0,,,32.0,2013-01-13 06:00:00,2013-01-13 00:00:00,1,0,2013-01-09 19:06:00,12.99313,77.59828,,,0,4,6,1,82.9,1
133312,22591,65,,1,61.0,,,61.0,2013-01-12 06:00:00,2013-01-13 00:00:00,1,0,2013-01-09 19:15:00,12.96298,77.71229,,,0,4,5,1,58.75,3
133355,22617,12,,1,393.0,,15.0,146.0,2013-01-11 16:00:00,2013-01-11 00:00:00,0,0,2013-01-10 08:41:00,13.19956,77.70688,,,0,4,4,2,31.316666666666666,3
133371,22627,87,,1,572.0,,,13.0,2013-02-08 01:00:00,2013-02-10 00:00:00,1,0,2013-01-10 12:46:00,12.91873,77.61494,,,0,1,4,0,684.2333333333333,2
133393,18046,12,,1,1136.0,,1.0,179.0,2013-01-12 02:00:00,2013-01-13 01:59:59,1,0,2013-01-10 15:59:00,12.99049,77.69798,,,0,4,5,0,34.016666666666666,1
133445,19390,12,,1,1323.0,,15.0,131.0,2013-01-12 06:00:00,2013-01-13 00:00:00,0,0,2013-01-10 22:24:00,12.869805,77.653211,,,0,4,5,1,31.6,2
133515,7321,12,,1,1063.0,,15.0,146.0,2013-01-12 12:00:00,2013-01-13 00:00:00,0,0,2013-01-11 13:37:00,12.934477,77.611284,,,0,4,5,1,22.383333333333333,1
133554,22724,28,,1,393.0,,1.0,55.0,2013-01-18 09:00:00,1970-01-01 09:00:00,1,0,2013-01-11 19:22:00,13.19956,77.70688,,,0,4,4,1,157.63333333333333,3
133557,22726,54,,1,1032.0,,,31.0,2013-01-12 01:00:00,2013-01-14 00:00:00,1,0,2013-01-11 19:31:00,12.913301,77.685592,,,0,4,5,0,5.483333333333333,2
133598,22754,12,,1,1058.0,,15.0,29.0,2013-01-12 12:00:00,2013-01-14 00:00:00,0,0,2013-01-12 00:36:00,12.914535,77.631658,,,0,4,5,1,11.4,0
133610,18669,12,,1,466.0,,15.0,29.0,2013-01-12 14:30:00,2013-01-13 14:30:00,0,0,2013-01-12 09:36:00,13.017436,77.64458,,,0,4,5,2,4.9,1
133622,22765,65,,1,393.0,,15.0,55.0,2013-01-14 10:00:00,2013-01-17 00:00:00,0,0,2013-01-12 10:51:00,13.19956,77.70688,,,0,4,0,1,47.15,3
133653,8865,12,,1,1391.0,,15.0,24.0,2013-01-13 08:00:00,2013-01-13 00:00:00,0,0,2013-01-12 15:41:00,12.970926,77.647321,,,0,4,6,1,16.316666666666666,1
133686,22791,65,,1,344.0,,15.0,108.0,2013-01-14 07:30:00,2013-01-14 07:30:00,0,0,2013-01-12 18:46:00,12.94788,77.67092,,,0,4,0,1,36.733333333333334,2
133688,22793,54,,1,1010.0,,15.0,32.0,2013-01-13 08:00:00,2013-01-13 00:00:00,0,0,2013-01-12 18:51:00,12.96691,77.74935,,,0,4,6,1,13.15,3
133697,20860,12,,1,1086.0,,15.0,32.0,2013-01-13 05:00:00,2013-01-13 00:00:00,0,0,2013-01-12 19:51:00,12.907487,77.64729,,,0,4,6,0,9.15,2
133713,22805,54,,1,1237.0,,15.0,32.0,2013-01-13 06:00:00,2013-01-13 00:00:00,0,0,2013-01-12 22:15:00,12.92645,77.61206,,,0,4,6,1,7.75,1
133716,22807,54,,1,689.0,,15.0,32.0,2013-01-13 09:00:00,2013-01-13 00:00:00,0,0,2013-01-12 22:49:00,12.97672,77.64927,,,0,4,6,1,10.183333333333334,2
